trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000171105_IRNT_TG,8.78155,0,ENSG00000171105,IRNT_TG
ENSG00000171502_IRNT_height,7.35506,0,ENSG00000171502,IRNT_height
ENSG00000171564_IRNT_LDL,10.902,0,ENSG00000171564,IRNT_LDL
ENSG00000171564_IRNT_TG,11.0885,0,ENSG00000171564,IRNT_TG
ENSG00000171812_IRNT_height,9.28794,0,ENSG00000171812,IRNT_height
ENSG00000173064_IRNT_BMI,7.07763,0,ENSG00000173064,IRNT_BMI
ENSG00000173250_IRNT_BMI,9.14243,0,ENSG00000173250,IRNT_BMI
ENSG00000173250_IRNT_WHR,9.68137,0,ENSG00000173250,IRNT_WHR
ENSG00000174233_IRNT_height,7.38568,0,ENSG00000174233,IRNT_height
ENSG00000175318_IRNT_height,31.6777,0,ENSG00000175318,IRNT_height
ENSG00000175445_IRNT_TG,24.663,1,ENSG00000175445,IRNT_TG
ENSG00000175634_IRNT_height,7.06936,0,ENSG00000175634,IRNT_height
ENSG00000176907_IRNT_RBC,8.53141,0,ENSG00000176907,IRNT_RBC
ENSG00000176971_IRNT_height,16.4153,0,ENSG00000176971,IRNT_height
ENSG00000177453_IRNT_height,8.41929,0,ENSG00000177453,IRNT_height
ENSG00000177853_IRNT_height,8.09252,0,ENSG00000177853,IRNT_height
ENSG00000178175_IRNT_height,10.5084,0,ENSG00000178175,IRNT_height
ENSG00000178177_IRNT_height,24.3704,0,ENSG00000178177,IRNT_height
ENSG00000178252_IRNT_height,9.72454,0,ENSG00000178252,IRNT_height
ENSG00000178997_IRNT_height,13.5101,0,ENSG00000178997,IRNT_height
ENSG00000179455_IRNT_height,8.97285,0,ENSG00000179455,IRNT_height
ENSG00000180376_IRNT_height,7.45223,0,ENSG00000180376,IRNT_height
ENSG00000181378_IRNT_TG,8.99372,0,ENSG00000181378,IRNT_TG
ENSG00000182132_IRNT_DBP,7.05803,0,ENSG00000182132,IRNT_DBP
ENSG00000182218_IRNT_height,8.17383,0,ENSG00000182218,IRNT_height
ENSG00000182511_IRNT_DBP,7.10055,0,ENSG00000182511,IRNT_DBP
ENSG00000182752_IRNT_height,8.74799,0,ENSG00000182752,IRNT_height
ENSG00000183765_Breast_cancer,29.2408,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,12.1248,1,ENSG00000183765,Cancer_of_prostate
ENSG00000183765_IRNT_RBC,7.77533,0,ENSG00000183765,IRNT_RBC
ENSG00000184828_IRNT_height,7.27862,0,ENSG00000184828,IRNT_height
ENSG00000185038_IRNT_biliru,11.8743,0,ENSG00000185038,IRNT_biliru
ENSG00000185049_IRNT_height,7.02911,0,ENSG00000185049,IRNT_height
ENSG00000187091_IRNT_height,7.59549,0,ENSG00000187091,IRNT_height
ENSG00000187098_IRNT_RBC,9.7343,0,ENSG00000187098,IRNT_RBC
ENSG00000187257_IRNT_height,6.95002,0,ENSG00000187257,IRNT_height
ENSG00000188487_ZBMD,26.9633,0,ENSG00000188487,ZBMD
ENSG00000188536_IRNT_RBC,8.4251,0,ENSG00000188536,IRNT_RBC
ENSG00000196712_IRNT_height,17.1621,0,ENSG00000196712,IRNT_height
ENSG00000196739_IRNT_height,14.0747,0,ENSG00000196739,IRNT_height
ENSG00000197375_IRNT_height,7.0793,0,ENSG00000197375,IRNT_height
ENSG00000197635_IRNT_height,6.96022,0,ENSG00000197635,IRNT_height
ENSG00000198369_IRNT_RBC,8.84103,0,ENSG00000198369,IRNT_RBC
ENSG00000198569_IRNT_RBC,9.61749,0,ENSG00000198569,IRNT_RBC
ENSG00000198586_IRNT_height,10.8066,0,ENSG00000198586,IRNT_height
