trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000171812_IRNT_height,15.3987,0,ENSG00000171812,IRNT_height
ENSG00000173064_IRNT_BMI,7.07763,0,ENSG00000173064,IRNT_BMI
ENSG00000173250_IRNT_BMI,8.803,0,ENSG00000173250,IRNT_BMI
ENSG00000173250_IRNT_WHR,8.98282,0,ENSG00000173250,IRNT_WHR
ENSG00000174032_IRNT_TG,10.1231,0,ENSG00000174032,IRNT_TG
ENSG00000174233_IRNT_height,9.01283,0,ENSG00000174233,IRNT_height
ENSG00000174989_IRNT_height,7.06644,0,ENSG00000174989,IRNT_height
ENSG00000175054_IRNT_RBC,7.76498,0,ENSG00000175054,IRNT_RBC
ENSG00000175318_IRNT_height,31.7718,0,ENSG00000175318,IRNT_height
ENSG00000175426_IRNT_BMI,7.34705,0,ENSG00000175426,IRNT_BMI
ENSG00000175445_IRNT_TG,72.0716,1,ENSG00000175445,IRNT_TG
ENSG00000175634_IRNT_height,7.06127,0,ENSG00000175634,IRNT_height
ENSG00000176907_IRNT_RBC,8.43868,0,ENSG00000176907,IRNT_RBC
ENSG00000177453_IRNT_height,8.3693,0,ENSG00000177453,IRNT_height
ENSG00000177706_ZBMD,12.3618,0,ENSG00000177706,ZBMD
ENSG00000178175_IRNT_height,10.7257,0,ENSG00000178175,IRNT_height
ENSG00000178177_IRNT_height,12.701,0,ENSG00000178177,IRNT_height
ENSG00000178252_IRNT_height,19.0658,0,ENSG00000178252,IRNT_height
ENSG00000179295_IRNT_height,27.7107,1,ENSG00000179295,IRNT_height
ENSG00000179455_IRNT_height,10.5453,0,ENSG00000179455,IRNT_height
ENSG00000180376_IRNT_height,8.24791,0,ENSG00000180376,IRNT_height
ENSG00000181754_IRNT_LDL,8.78764,0,ENSG00000181754,IRNT_LDL
ENSG00000182218_IRNT_height,7.67407,0,ENSG00000182218,IRNT_height
ENSG00000182511_hypertension,8.16299,0,ENSG00000182511,hypertension
ENSG00000182752_IRNT_height,13.6944,0,ENSG00000182752,IRNT_height
