"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000244734_IRNT_biliru",10.0207,0,"ENSG00000244734","dbilirubin"
"ENSG00000244734_IRNT_RBC",75.7473,0,"ENSG00000244734","rbc"
"ENSG00000257727_IRNT_height",12.2493,0,"ENSG00000257727","height"
"ENSG00000258366_IRNT_RBC",11.2853,0,"ENSG00000258366","rbc"
"ENSG00000259384_IRNT_height",13.2781,1,"ENSG00000259384","height"
"ENSG00000269190_IRNT_height",9.81286,0,"ENSG00000269190","height"
"ENSG00000269858_IRNT_RBC",15.076,0,"ENSG00000269858","rbc"
"ENSG00000275052_ZBMD",7.40618,0,"ENSG00000275052","ebmd"
"ENSG00000278318_IRNT_LDL",29.3635,0,"ENSG00000278318","ldl"
"ENSG00000288702_IRNT_biliru",20.0773,0,"ENSG00000288702","dbilirubin"
"ENSG00000288705_IRNT_biliru",34.2785,0,"ENSG00000288705","dbilirubin"
